datetime,date,hour,weather,temperature_c,humidity_percent
2024-01-06 15:00:00,2024-01-06,15,partly_cloudy,30.6,77.4
2024-01-06 16:00:00,2024-01-06,16,clear,25.9,67.1
2024-01-06 17:00:00,2024-01-06,17,heavy_rain,31.9,92.2
2024-01-06 18:00:00,2024-01-06,18,clear,25.2,71.5
2024-01-06 19:00:00,2024-01-06,19,cloudy,26.8,86.6
2024-01-06 20:00:00,2024-01-06,20,partly_cloudy,25.3,65.6
2024-01-06 21:00:00,2024-01-06,21,clear,27.7,87.0
2024-01-06 22:00:00,2024-01-06,22,partly_cloudy,25.5,93.0
2024-01-06 23:00:00,2024-01-06,23,partly_cloudy,24.4,81.0
2024-01-07 00:00:00,2024-01-07,0,cloudy,27.7,68.0
2024-01-07 01:00:00,2024-01-07,1,cloudy,28.1,68.7
2024-01-07 02:00:00,2024-01-07,2,partly_cloudy,23.2,65.0
2024-01-07 03:00:00,2024-01-07,3,clear,26.6,74.3
2024-01-07 04:00:00,2024-01-07,4,clear,26.8,83.9
2024-01-07 05:00:00,2024-01-07,5,partly_cloudy,23.9,85.0
2024-01-07 06:00:00,2024-01-07,6,partly_cloudy,31.7,75.1
2024-01-07 07:00:00,2024-01-07,7,cloudy,27.7,69.5
2024-01-07 08:00:00,2024-01-07,8,clear,25.0,85.2
2024-01-07 09:00:00,2024-01-07,9,cloudy,30.5,70.0
2024-01-07 10:00:00,2024-01-07,10,partly_cloudy,32.6,71.2
2024-01-07 11:00:00,2024-01-07,11,clear,30.2,88.1
2024-01-07 12:00:00,2024-01-07,12,light_rain,31.6,77.8
2024-01-07 13:00:00,2024-01-07,13,clear,30.8,81.2
2024-01-07 14:00:00,2024-01-07,14,light_rain,29.8,88.2
2024-01-07 15:00:00,2024-01-07,15,cloudy,31.3,86.2
2024-01-07 16:00:00,2024-01-07,16,heavy_rain,26.2,87.3
2024-01-07 17:00:00,2024-01-07,17,light_rain,30.1,85.4
2024-01-07 18:00:00,2024-01-07,18,partly_cloudy,25.3,82.0
2024-01-07 19:00:00,2024-01-07,19,clear,29.2,90.5
2024-01-07 20:00:00,2024-01-07,20,clear,29.9,81.3
2024-01-07 21:00:00,2024-01-07,21,partly_cloudy,26.8,83.9
2024-01-07 22:00:00,2024-01-07,22,partly_cloudy,24.6,63.7
2024-01-07 23:00:00,2024-01-07,23,clear,25.5,65.6
2024-01-08 00:00:00,2024-01-08,0,clear,23.8,84.9
2024-01-08 01:00:00,2024-01-08,1,partly_cloudy,23.3,69.5
2024-01-08 02:00:00,2024-01-08,2,clear,29.4,80.8
2024-01-08 03:00:00,2024-01-08,3,clear,27.4,60.0
2024-01-08 04:00:00,2024-01-08,4,clear,28.0,67.9
2024-01-08 05:00:00,2024-01-08,5,partly_cloudy,25.9,60.0
2024-01-08 06:00:00,2024-01-08,6,clear,31.0,60.0
2024-01-08 07:00:00,2024-01-08,7,clear,27.8,72.2
2024-01-08 08:00:00,2024-01-08,8,clear,28.0,76.8
2024-01-08 09:00:00,2024-01-08,9,clear,26.7,89.5
2024-01-08 10:00:00,2024-01-08,10,clear,29.6,82.0
2024-01-08 11:00:00,2024-01-08,11,clear,35.0,82.0
2024-01-08 12:00:00,2024-01-08,12,clear,32.4,69.0
2024-01-08 13:00:00,2024-01-08,13,partly_cloudy,27.7,69.4
2024-01-08 14:00:00,2024-01-08,14,clear,30.0,79.9
2024-01-08 15:00:00,2024-01-08,15,light_rain,35.0,83.0
2024-01-08 16:00:00,2024-01-08,16,storm,32.3,89.6
2024-01-08 17:00:00,2024-01-08,17,moderate_rain,26.3,96.8
2024-01-08 18:00:00,2024-01-08,18,moderate_rain,24.9,82.8
2024-01-08 19:00:00,2024-01-08,19,partly_cloudy,24.7,73.7
2024-01-08 20:00:00,2024-01-08,20,cloudy,28.4,62.5
2024-01-08 21:00:00,2024-01-08,21,partly_cloudy,28.5,83.7
2024-01-08 22:00:00,2024-01-08,22,clear,27.5,61.1
2024-01-08 23:00:00,2024-01-08,23,clear,29.3,83.7
2024-01-09 00:00:00,2024-01-09,0,partly_cloudy,24.5,94.6
2024-01-09 01:00:00,2024-01-09,1,clear,24.6,76.3
2024-01-09 02:00:00,2024-01-09,2,cloudy,29.1,87.0
2024-01-09 03:00:00,2024-01-09,3,partly_cloudy,26.9,79.4
2024-01-09 04:00:00,2024-01-09,4,clear,26.9,86.7
2024-01-09 05:00:00,2024-01-09,5,clear,27.9,60.0
2024-01-09 06:00:00,2024-01-09,6,partly_cloudy,28.3,78.5
2024-01-09 07:00:00,2024-01-09,7,clear,27.7,67.7
2024-01-09 08:00:00,2024-01-09,8,clear,28.1,79.9
2024-01-09 09:00:00,2024-01-09,9,clear,25.0,62.8
2024-01-09 10:00:00,2024-01-09,10,partly_cloudy,28.7,70.3
2024-01-09 11:00:00,2024-01-09,11,clear,35.0,82.4
2024-01-09 12:00:00,2024-01-09,12,cloudy,35.0,72.6
2024-01-09 13:00:00,2024-01-09,13,clear,30.9,78.0
2024-01-09 14:00:00,2024-01-09,14,moderate_rain,26.7,92.8
2024-01-09 15:00:00,2024-01-09,15,moderate_rain,29.9,81.5
2024-01-09 16:00:00,2024-01-09,16,partly_cloudy,29.6,75.4
2024-01-09 17:00:00,2024-01-09,17,clear,29.3,85.8
2024-01-09 18:00:00,2024-01-09,18,clear,30.7,66.0
2024-01-09 19:00:00,2024-01-09,19,partly_cloudy,30.5,68.6
2024-01-09 20:00:00,2024-01-09,20,partly_cloudy,29.7,92.1
2024-01-09 21:00:00,2024-01-09,21,partly_cloudy,26.3,71.3
2024-01-09 22:00:00,2024-01-09,22,partly_cloudy,24.7,60.0
2024-01-09 23:00:00,2024-01-09,23,clear,26.6,68.9
2024-01-10 00:00:00,2024-01-10,0,cloudy,25.8,95.2
2024-01-10 01:00:00,2024-01-10,1,clear,26.9,60.0
2024-01-10 02:00:00,2024-01-10,2,partly_cloudy,25.5,80.3
2024-01-10 03:00:00,2024-01-10,3,cloudy,24.5,80.8
2024-01-10 04:00:00,2024-01-10,4,cloudy,28.1,87.1
2024-01-10 05:00:00,2024-01-10,5,partly_cloudy,28.2,74.5
2024-01-10 06:00:00,2024-01-10,6,partly_cloudy,27.0,79.9
2024-01-10 07:00:00,2024-01-10,7,clear,28.6,92.8
2024-01-10 08:00:00,2024-01-10,8,clear,28.4,77.6
2024-01-10 09:00:00,2024-01-10,9,clear,28.1,83.1
2024-01-10 10:00:00,2024-01-10,10,clear,31.8,62.5
2024-01-10 11:00:00,2024-01-10,11,clear,32.3,92.5
2024-01-10 12:00:00,2024-01-10,12,cloudy,31.3,82.9
2024-01-10 13:00:00,2024-01-10,13,clear,26.5,63.0
2024-01-10 14:00:00,2024-01-10,14,light_rain,33.1,81.2
2024-01-10 15:00:00,2024-01-10,15,storm,28.3,82.3
2024-01-10 16:00:00,2024-01-10,16,clear,31.0,80.5
2024-01-10 17:00:00,2024-01-10,17,light_rain,25.9,94.0
2024-01-10 18:00:00,2024-01-10,18,partly_cloudy,29.3,85.2
2024-01-10 19:00:00,2024-01-10,19,clear,32.9,74.1
2024-01-10 20:00:00,2024-01-10,20,clear,30.2,82.5
2024-01-10 21:00:00,2024-01-10,21,partly_cloudy,24.9,84.7
2024-01-10 22:00:00,2024-01-10,22,partly_cloudy,27.8,76.0
2024-01-10 23:00:00,2024-01-10,23,partly_cloudy,26.3,60.0
2024-01-11 00:00:00,2024-01-11,0,partly_cloudy,26.2,100.0
2024-01-11 01:00:00,2024-01-11,1,clear,27.4,69.4
2024-01-11 02:00:00,2024-01-11,2,partly_cloudy,26.2,60.0
2024-01-11 03:00:00,2024-01-11,3,cloudy,26.9,60.0
2024-01-11 04:00:00,2024-01-11,4,clear,23.6,60.0
2024-01-11 05:00:00,2024-01-11,5,clear,26.9,86.2
2024-01-11 06:00:00,2024-01-11,6,partly_cloudy,30.5,72.1
2024-01-11 07:00:00,2024-01-11,7,partly_cloudy,26.2,69.2
2024-01-11 08:00:00,2024-01-11,8,cloudy,26.6,60.4
2024-01-11 09:00:00,2024-01-11,9,cloudy,29.3,88.8
2024-01-11 10:00:00,2024-01-11,10,clear,31.8,79.4
2024-01-11 11:00:00,2024-01-11,11,partly_cloudy,28.9,74.5
2024-01-11 12:00:00,2024-01-11,12,moderate_rain,29.4,93.3
2024-01-11 13:00:00,2024-01-11,13,clear,31.8,77.3
2024-01-11 14:00:00,2024-01-11,14,partly_cloudy,33.0,74.4
2024-01-11 15:00:00,2024-01-11,15,moderate_rain,33.1,84.9
2024-01-11 16:00:00,2024-01-11,16,moderate_rain,30.4,88.3
2024-01-11 17:00:00,2024-01-11,17,clear,28.8,65.2
2024-01-11 18:00:00,2024-01-11,18,light_rain,28.4,84.3
2024-01-11 19:00:00,2024-01-11,19,clear,30.8,72.1
2024-01-11 20:00:00,2024-01-11,20,clear,31.0,71.1
2024-01-11 21:00:00,2024-01-11,21,partly_cloudy,25.2,85.7
2024-01-11 22:00:00,2024-01-11,22,partly_cloudy,26.3,65.5
2024-01-11 23:00:00,2024-01-11,23,clear,26.1,73.8
2024-01-12 00:00:00,2024-01-12,0,clear,25.0,73.5
2024-01-12 01:00:00,2024-01-12,1,partly_cloudy,26.3,74.2
2024-01-12 02:00:00,2024-01-12,2,partly_cloudy,29.4,84.9
2024-01-12 03:00:00,2024-01-12,3,partly_cloudy,22.7,63.5
2024-01-12 04:00:00,2024-01-12,4,clear,25.9,83.2
2024-01-12 05:00:00,2024-01-12,5,clear,30.7,74.9
2024-01-12 06:00:00,2024-01-12,6,clear,28.5,62.2
2024-01-12 07:00:00,2024-01-12,7,cloudy,26.6,83.6
2024-01-12 08:00:00,2024-01-12,8,cloudy,29.7,76.5
2024-01-12 09:00:00,2024-01-12,9,partly_cloudy,27.1,66.3
2024-01-12 10:00:00,2024-01-12,10,cloudy,29.9,85.7
2024-01-12 11:00:00,2024-01-12,11,clear,31.4,86.5
2024-01-12 12:00:00,2024-01-12,12,partly_cloudy,30.4,86.9
2024-01-12 13:00:00,2024-01-12,13,clear,31.0,86.0
2024-01-12 14:00:00,2024-01-12,14,moderate_rain,32.5,87.2
2024-01-12 15:00:00,2024-01-12,15,moderate_rain,32.8,91.1
2024-01-12 16:00:00,2024-01-12,16,moderate_rain,26.3,88.2
2024-01-12 17:00:00,2024-01-12,17,cloudy,26.0,71.5
2024-01-12 18:00:00,2024-01-12,18,clear,31.9,77.1
2024-01-12 19:00:00,2024-01-12,19,clear,28.8,60.0
2024-01-12 20:00:00,2024-01-12,20,clear,32.7,89.0
2024-01-12 21:00:00,2024-01-12,21,clear,23.5,87.2
2024-01-12 22:00:00,2024-01-12,22,partly_cloudy,22.7,60.0
2024-01-12 23:00:00,2024-01-12,23,partly_cloudy,25.5,61.6
2024-01-13 00:00:00,2024-01-13,0,clear,23.1,80.9
2024-01-13 01:00:00,2024-01-13,1,clear,22.0,76.1
2024-01-13 02:00:00,2024-01-13,2,clear,31.1,70.2
2024-01-13 03:00:00,2024-01-13,3,partly_cloudy,22.8,81.0
2024-01-13 04:00:00,2024-01-13,4,clear,22.8,63.1
2024-01-13 05:00:00,2024-01-13,5,clear,24.7,60.0
2024-01-13 06:00:00,2024-01-13,6,clear,30.7,91.8
2024-01-13 07:00:00,2024-01-13,7,cloudy,30.4,62.0
2024-01-13 08:00:00,2024-01-13,8,partly_cloudy,28.7,88.4
2024-01-13 09:00:00,2024-01-13,9,clear,29.3,82.0
2024-01-13 10:00:00,2024-01-13,10,clear,31.0,82.0
2024-01-13 11:00:00,2024-01-13,11,cloudy,30.6,73.0
2024-01-13 12:00:00,2024-01-13,12,clear,32.7,63.7
2024-01-13 13:00:00,2024-01-13,13,light_rain,32.1,87.0
2024-01-13 14:00:00,2024-01-13,14,moderate_rain,31.5,91.3
2024-01-13 15:00:00,2024-01-13,15,clear,28.9,68.2
2024-01-13 16:00:00,2024-01-13,16,partly_cloudy,29.6,66.1
2024-01-13 17:00:00,2024-01-13,17,partly_cloudy,29.5,82.3
2024-01-13 18:00:00,2024-01-13,18,cloudy,29.9,63.3
2024-01-13 19:00:00,2024-01-13,19,clear,27.3,82.2
2024-01-13 20:00:00,2024-01-13,20,clear,28.9,73.0
2024-01-13 21:00:00,2024-01-13,21,clear,30.7,63.0
2024-01-13 22:00:00,2024-01-13,22,clear,23.1,84.4
2024-01-13 23:00:00,2024-01-13,23,partly_cloudy,24.6,60.0
2024-01-14 00:00:00,2024-01-14,0,cloudy,25.7,84.3
2024-01-14 01:00:00,2024-01-14,1,partly_cloudy,26.5,74.5
2024-01-14 02:00:00,2024-01-14,2,partly_cloudy,25.0,77.9
2024-01-14 03:00:00,2024-01-14,3,partly_cloudy,25.3,72.5
2024-01-14 04:00:00,2024-01-14,4,clear,26.6,89.4
2024-01-14 05:00:00,2024-01-14,5,clear,23.4,60.0
2024-01-14 06:00:00,2024-01-14,6,partly_cloudy,27.4,80.9
2024-01-14 07:00:00,2024-01-14,7,clear,30.5,86.1
2024-01-14 08:00:00,2024-01-14,8,clear,26.8,85.8
2024-01-14 09:00:00,2024-01-14,9,cloudy,27.0,93.9
2024-01-14 10:00:00,2024-01-14,10,clear,28.9,73.5
2024-01-14 11:00:00,2024-01-14,11,partly_cloudy,24.7,60.0
2024-01-14 12:00:00,2024-01-14,12,clear,30.9,71.7
2024-01-14 13:00:00,2024-01-14,13,moderate_rain,33.1,87.4
2024-01-14 14:00:00,2024-01-14,14,heavy_rain,31.5,90.0
2024-01-14 15:00:00,2024-01-14,15,light_rain,29.9,80.5
2024-01-14 16:00:00,2024-01-14,16,light_rain,26.5,82.1
2024-01-14 17:00:00,2024-01-14,17,heavy_rain,27.5,86.8
2024-01-14 18:00:00,2024-01-14,18,partly_cloudy,26.7,75.3
2024-01-14 19:00:00,2024-01-14,19,clear,28.2,89.6
2024-01-14 20:00:00,2024-01-14,20,partly_cloudy,24.8,83.3
2024-01-14 21:00:00,2024-01-14,21,partly_cloudy,27.7,67.0
2024-01-14 22:00:00,2024-01-14,22,partly_cloudy,24.9,77.2
2024-01-14 23:00:00,2024-01-14,23,cloudy,26.3,70.9
2024-01-15 00:00:00,2024-01-15,0,cloudy,28.0,77.3
2024-01-15 01:00:00,2024-01-15,1,partly_cloudy,24.4,66.8
2024-01-15 02:00:00,2024-01-15,2,partly_cloudy,29.8,65.5
2024-01-15 03:00:00,2024-01-15,3,partly_cloudy,25.7,91.2
2024-01-15 04:00:00,2024-01-15,4,partly_cloudy,24.8,65.1
2024-01-15 05:00:00,2024-01-15,5,clear,25.5,70.4
2024-01-15 06:00:00,2024-01-15,6,partly_cloudy,28.6,75.3
2024-01-15 07:00:00,2024-01-15,7,partly_cloudy,26.4,70.5
2024-01-15 08:00:00,2024-01-15,8,partly_cloudy,27.2,85.2
2024-01-15 09:00:00,2024-01-15,9,clear,24.0,63.5
2024-01-15 10:00:00,2024-01-15,10,clear,32.1,63.5
2024-01-15 11:00:00,2024-01-15,11,partly_cloudy,31.1,90.1
2024-01-15 12:00:00,2024-01-15,12,light_rain,32.5,90.7
2024-01-15 13:00:00,2024-01-15,13,partly_cloudy,30.9,85.1
2024-01-15 14:00:00,2024-01-15,14,light_rain,31.4,79.4
2024-01-15 15:00:00,2024-01-15,15,light_rain,29.5,88.7
2024-01-15 16:00:00,2024-01-15,16,light_rain,30.2,89.0
2024-01-15 17:00:00,2024-01-15,17,clear,28.1,84.7
2024-01-15 18:00:00,2024-01-15,18,clear,29.2,90.7
2024-01-15 19:00:00,2024-01-15,19,partly_cloudy,28.0,74.0
2024-01-15 20:00:00,2024-01-15,20,clear,27.6,90.3
2024-01-15 21:00:00,2024-01-15,21,clear,24.6,60.0
2024-01-15 22:00:00,2024-01-15,22,clear,26.5,76.7
2024-01-15 23:00:00,2024-01-15,23,partly_cloudy,26.6,71.6
2024-01-16 00:00:00,2024-01-16,0,partly_cloudy,28.7,75.7
2024-01-16 01:00:00,2024-01-16,1,clear,23.2,84.4
2024-01-16 02:00:00,2024-01-16,2,partly_cloudy,27.9,72.4
2024-01-16 03:00:00,2024-01-16,3,clear,24.1,78.5
2024-01-16 04:00:00,2024-01-16,4,clear,28.7,81.8
2024-01-16 05:00:00,2024-01-16,5,partly_cloudy,24.2,68.5
2024-01-16 06:00:00,2024-01-16,6,clear,28.5,80.1
2024-01-16 07:00:00,2024-01-16,7,clear,30.2,74.1
2024-01-16 08:00:00,2024-01-16,8,clear,27.5,65.8
2024-01-16 09:00:00,2024-01-16,9,cloudy,28.4,86.2
2024-01-16 10:00:00,2024-01-16,10,cloudy,30.1,80.9
2024-01-16 11:00:00,2024-01-16,11,clear,29.5,91.4
2024-01-16 12:00:00,2024-01-16,12,partly_cloudy,27.9,80.5
2024-01-16 13:00:00,2024-01-16,13,light_rain,30.4,83.3
2024-01-16 14:00:00,2024-01-16,14,clear,30.1,75.7
2024-01-16 15:00:00,2024-01-16,15,partly_cloudy,32.7,70.1
2024-01-16 16:00:00,2024-01-16,16,moderate_rain,27.9,85.7
2024-01-16 17:00:00,2024-01-16,17,moderate_rain,27.4,85.0
2024-01-16 18:00:00,2024-01-16,18,light_rain,25.6,85.9
2024-01-16 19:00:00,2024-01-16,19,partly_cloudy,28.8,72.9
2024-01-16 20:00:00,2024-01-16,20,partly_cloudy,26.5,83.1
2024-01-16 21:00:00,2024-01-16,21,cloudy,25.9,73.2
2024-01-16 22:00:00,2024-01-16,22,partly_cloudy,25.2,68.6
2024-01-16 23:00:00,2024-01-16,23,cloudy,26.1,74.2
2024-01-17 00:00:00,2024-01-17,0,clear,25.9,92.9
2024-01-17 01:00:00,2024-01-17,1,clear,29.9,89.7
2024-01-17 02:00:00,2024-01-17,2,partly_cloudy,25.0,73.7
2024-01-17 03:00:00,2024-01-17,3,partly_cloudy,26.5,61.4
2024-01-17 04:00:00,2024-01-17,4,partly_cloudy,25.6,74.3
2024-01-17 05:00:00,2024-01-17,5,cloudy,26.9,66.7
2024-01-17 06:00:00,2024-01-17,6,partly_cloudy,27.1,86.6
2024-01-17 07:00:00,2024-01-17,7,cloudy,28.9,67.8
2024-01-17 08:00:00,2024-01-17,8,cloudy,28.4,85.9
2024-01-17 09:00:00,2024-01-17,9,partly_cloudy,26.1,67.8
2024-01-17 10:00:00,2024-01-17,10,clear,29.4,88.1
